mineral,formula,system
ERIONITE-Na,(Na|K|Ca0|5)10[Al10Si26O72].30H2O,H
ERLIANITE,(Fe++|Fe+++|Mg)24(Fe+++V)6Si36O90(OH|O)48,O
ERLICHMANITE,OsS2,C
ERNIENICKELITE,NiMn++++3O7.3H2O,R
ERNIGGLIITE,Tl2SnAs2S6,H
ERNSTBURKEITE,Mg[CH3SO3]2.12H2O,R
ERNSTITE,(Mn++1-xFe+++x)Al(PO4)(OH)2-xOx,M
ERSHOVITE,Na4K3(Fe++|Mn++|Ti)2Si8O20(OH)4.4H2O,A
ERTIXIITE,Na2Si4O9,C
ERYTHRITE,Co3(AsO4)2.8H2O,M
ERYTHROSIDERITE,K2Fe+++Cl5.H2O,O
ESKEBORNITE,CuFeSe2,Q
ESKIMOITE,Ag7Pb10Bi15S36,M
ESKOLAITE,Cr2O3,R
ESPERANZAITE,NaCa2Al2(As+++++O4)2F4(OH).H2O,M
ESPERITE,PbCa2Zn3(SiO4)3,M
ESSENEITE,CaFe+++AlSiO6,M
ETTRINGITE,Ca6Al2(SO4)3(OH)12.26H2O,H
EUCAIRITE,CuAgSe,O
EUCHLORINE,KNaCu++3(SO4)3O,M
EUCHROITE,Cu2(AsO4)(OH).3H2O,O
EUCLASE,BeAlSiO4(OH),M
EUCRYPTITE,LiAlSiO4,R
EUDIALYTE,Na15Ca6(Fe++|Mn)3Zr3(Si25O73)(O|OH|H2O)3(OH|Cl)2,R
EUDIDYMITE,NaBeSi3O7(OH),M
EUGENITE,Ag11Hg2,C
EUGSTERITE,Na4Ca(SO4)3.2H2O,M,(?)
EULYTINE,Bi4(SiO4)3,C
EUREKADUMPITE,(Cu|Zn)16(Te++++O3)2(AsO4)3Cl(OH)18.7H2O,O ps H
EUXENITE-(Y),(Y|Ca|Ce|U|Th)(Nb|Ta|Ti)2O6,O
EVANSITE,Al3(PO4)(OH)6.6H2O,(?),am.
EVEITE,Mn2(AsO4)(OH),O
EVENKITE,CxH2x+2,(x=19,to,28),O
EVESLOGITE,(Ca|K|Na|Sr|Ba)48[(Ti|Nb|Fe|Mn)12(OH)12Si48O144](F|OH|Cl)14,M
EWALDITE,(Ba|Sr)(Ca|Na|Y|Ce)(CO3)2.10-12H2O,H
EYLETTERSITE,(Th|Pb)1-xAl3(PO4|SiO4)2(OH)6,(?),R
EYSELITE,Fe+++Ge++++3O7(OH),O
EZCURRITE,Na4B10O17.7H2O,A
EZTLITE,Pb2Fe+++6(Te++++O3)3(Te++++++O6)(OH)10.8H2O,M
FABIANITE,CaB3O5(OH),M
FAHEYITE,(Mn|Mg)Fe+++2Be2(PO4)4.6H2O,H
FAHLEITE,Zn5CaFe+++2(AsO4)6.14H2O,O
FAIRBANKITE,PbTe++++O3,A
FAIRCHILDITE,K2Ca(CO3)2,H
FAIRFIELDITE,Ca2(Mn|Fe++)(PO4)2.2H2O,A
FAIZIEVITE,K2Li6Na(Ca6Na)Ti4[Si6O18]2[Si12O30]F2,A
FALCONDOITE,(Ni|Mg)4Si6O15(OH)2.6H2O,O
FALKMANITE,Pb5Sb4S11,M
FALSTERITE,Ca2MgMn++2(Fe++0|5Fe+++0|5)4Zn4(PO4)8(OH)4(H2O)14,M
FAMATINITE,Cu3SbS4,Q
FANGITE,Tl3AsS4,O
FANTAPPIEITE,[Na82.5Ca33K16.5](Si99Al99O396)(SO4)33.6H2O,R
FARNESEITE,[(Na|K)46Ca10](Si42Al42O168)(SO4)12.6H2O,H
FARRINGTONITE,Mg3(PO4)2,M
FASSINAITE,Pb++2(CO3)(SO3S--),O
FAUJASITE-Ca,(Ca0|5|Na|Mg0|5|K)3-4[Al3-4Si9-8O24].16H2O,C
FAUJASITE-Mg,(Mg0|5|Ca0|5|Na|K)3-4[Al3-4Si9-8O24].16H2O,C
FAUJASITE-Na,(Na|Ca0|5|Mg0|5|K)3-4[Al3-4Si9-8O24].16H2O,C
FAUSTITE,(Zn|Cu++)Al6(PO4)4(OH)8.4H2O,A
FAVREAUITE,PbBiCu6O4(SeO3)4(OH).H2O,Q
FAYALITE,Fe++2SiO4,O
FEDORITE,(Na|K)2-3(Ca|Na)7(Si4O8)(Si4O10)3(F|Cl|OH)2.3|5H2O,A
FEDOROVSKITE,Ca2(Mg|Mn)2B4O7(OH)6,O
FEDOTOVITE,K2Cu++3O(SO4)3,M
FEINGLOSITE,Pb2(Zn|Fe++)[(As|S)O4]2.H2O,M
FEITKNECHTITE,beta-Mn+++O(OH),H
FEKLICHEVITE,Na11Ca9(Fe+++|Fe++)2Zr3Nb[Si25O73](OH|H2O|Cl|O)5,R
FELBERTALITE,Cu2(Pb|Ag)6Bi8S19,M
FELSOBANYAITE,Al4(SO4)(OH)10.4H2O,H
FENAKSITE,(K|Na|Ca)4(Fe++|Fe+++|Mn)2Si8O20(OH|F),A
FENCOOPERITE,Ba6Fe+++3Si8O23(CO3)2Cl3.H2O,R
FENGCHENGITE,Na12[]3(Ca|Sr)6Fe+++3Zr3Si(Si25O73)(H2O|OH)3(OH|Cl)2,R
FERBERITE,Fe++WO4,M
FERCHROMIDE,Cr3Fe1-x,(x=0|6),C
FERGUSONITE-(Ce),(Ce|Nd|La)NbO4.0|3H2O,M
FERGUSONITE-(Nd),(?),(Nd|Ce)(Nb|Ti)O4,M
FERGUSONITE-(Y),YNbO4,Q
FERGUSONITE-BETA-(Ce),(Ce|La|Nd)NbO4,M
FERGUSONITE-BETA-(Nd),(Nd|Ce)NbO4,M
FERGUSONITE-BETA-(Y),YNbO4,M
FERNANDINITE,Ca(V+++++|V++++|Fe++)80O20.4H2O,M
FEROXYHYTE,delta-Fe+++O(OH),H
FERRARISITE,Ca5H2(AsO4)4.9H2O,A
FERRIALLANITE-(Ce),CaCeFe+++AlFe++[Si2O7][SiO4]O(OH),M
FERRIALLANITE-(La),Ca(La|Ce|Th)(Fe+++|Al)(Al|Fe+++)(Fe++|Mn|Ti|Mg)(SiO4)(Si2O7)O(OH),M
FERRIBARROISITE,[](CaNa)Mg3Fe+++2Si7AlO22(OH)2,M
FERRICFERRONYBOITE,(?),NaNa2(Fe++3Fe+++2)Si7AlO22(OH)2,(?),M
FERRICLINOFERROHOLMQUISTITE,Li2(Fe++|Mg)3(Fe+++|Al)2Si8O22(OH;F)2,M
FERRICLINOHOLMQUISTITE,[](Li2Mg3Fe+++2)Si8O22(OH)2,(?),M
FERRICNYBOITE,(?),NaNa2(Mg3Fe+++2)Si7AlO22(OH)2,(?),M
FERRICOPIAPITE,(Fe+++|Al|Mg)Fe+++5(SO4)6(OH)2.20H2O,A
FERRIERITE-K,(K|Na|Mg0|5|Ca0|5)6[Al6Si30O72].18H2O,O
FERRIERITE-Mg,(Mg0|5|K|Na|Ca0|5)6[Al6Si30O72].18H2O,O
FERRIERITE-Na,(Na|K|Mg0|5|Ca0|5)6[Al6Si30O72].18H2O,M
FERRIFERROBARROISITE,(?),[](CaNa)Fe++3Fe+++2Si7AlO22(OH)2,(?),M
FERRIFERROTSCHERMAKITE,(?),[]Ca2(Fe++3Fe+++2)Si6Al2O22(OH)2,(?),M
FERRIHOLLANDITE,BaMn++++6(Fe+++|Mn+++)2O16,M
FERRIHYDRITE,5Fe+++2O3.9H2O,H
FERRIKATOPHORITE,(?),Na2Ca(Fe++|Mg)4Fe+++(Si7Al)O22(OH)2,(?),M
FERRILOTHARMEYERITE,Ca(Fe+++|Zn)2(AsO4)2(OH|H2O)2,M
FERRIMAGNESIOTARAMITE,(?),Na(CaNa)Mg3Fe+++2Si6Al2O22(OH)2,(?),M
FERRIMOLYBDITE,Fe+++2(MoO4)3.8H2O,(?),O,(?)
FERRINATRITE,Na3Fe+++(SO4)3.3H2O,R
FERRIOTTOLINIITE,Na0|5(Na|Li)2Li0|5(Mg|Fe++|Zn)3Fe+++2(Si8O22)(OH|F)2,M
FERRIPEDRIZITE,NaLi3(Mg|Fe++)2Fe+++2Si8O22(OH|F)2,M
FERRIPYROPHYLLITE,Fe+++2Si4O10(OH)2,M
FERRISEPIOLITE,(Fe+++|Fe++|Mg)4(Si|Fe+++)6O15(O|OH)2.6H2O,O
FERRISICKLERITE,Li(Fe+++|Mn++)PO4,O
FERRISTRUNZITE,Fe+++Fe+++2(PO4)2(OH)3.5H2O,A
FERRISURITE,Pb2Ca(Fe+++|Al)2(Si|Al)4O10(OH|F)2(CO3|OH)3.0|5H2O,M
FERRISYMPLESITE,Fe+++3(AsO4)2(OH)3.5H2O,am.
FERRITARAMITE,(?),Na(CaNa)Fe++3Fe+++2Si6Al2O22(OH)2,(?),M
FERRITSCHERMAKITE,(?),[]Ca2(Mg3Fe+++2)Si6Al2O22(OH)2,(?),M
FERRIWHITTAKERITE,Na(NaLi)(LiMg2Fe+++2)(Si8O22)(OH)2,M
FERRIWINCHITE,[]NaCa(Mg|Fe++)4Fe+++Si8O22(OH)2,M
FERROACTINOLITE,[]Ca2Fe++5Si8O22(OH)2,M
FERROALLUAUDITE,NaCaFe++(Fe++|Mn++|Fe+++)2(PO4)3,M
FERROALUMINOCELADONITE,(FERRO-ALUMINOCELADONITE),KAl(Fe++|Mg)[]Si4O10(OH)2,M
FERROALUMINOTSCHERMAKITE,(?),[]Ca2Fe++3Al2(Si7Al)O22(OH)2,(?),M
FERROANTHOPHYLLITE,[]Fe++7Si8O22(OH)2,O
FERROBARROISITE,[](CaNa)Fe++3AlFe+++Si7AlO22(OH)2,M
FERROBUSTAMITE,Ca(Fe++|Ca|Mn)Si2O6,A
FERROCARPHOLITE,(Fe++|Mg)Al2Si2O6(OH)4,O
FERROCELADONITE,KFe+++(Fe++|Mg)[]Si4O10(OH)2,M
FERROCHIAVENNITE,Ca1-2FeSi5Be2O13(OH)2.2H2O,M ps H
FERROECKERMANNITE,NaNa2(Fe++Al)Si8O22(OH)2,M
FERROEDENITE,NaCa2Fe++5Si7AlO22(OH)2,M
FERROERICSSONITE,BaFe++2Fe+++(Si2O7)O(OH),M
FERROGEDRITE,[](Fe++|Mg)5Al2Si6Al2O22(OH)2,O
FERROGLAUCOPHANE,[]Na2(Fe++3Al2)Si8O22(OH)2,M
FERROHAGENDORFITE,(Na|Ca)2Fe++(Fe++|Fe+++)2(PO4)3,(?),M
FERROHEXAHYDRITE,Fe++SO4.6H2O,M
FERROHOGBOMITE-2N2S,(Fe++|Zn|Mg)3(Al|Fe+++|Ti++++)8O15(OH),H
FERROHOLMQUISTITE,[](Li2Fe++3Al2)Si8O22(OH)2,O
FERROHORNBLENDE,[]Ca2[Fe++4(Al|Fe+++)]Si7AlO22(OH)2,M
FERROINDIALITE,Mg2Al4Si5O18,H
FERROKAERSUTITE,NaCa2(Fe++4Ti)Si6Al2O22(OH)2,M
FERROKENTBROOKSITE,Na15Ca6(Fe|Mn)3Zr3NbSi25O73(O|OH|H2O)3(Cl|F|OH)2,R
FERROKESTERITE,Cu2(Fe|Zn)SnS4,Q
FERROKINOSHITALITE,Ba(Fe++|Mg)3(Si2Al2)O10(OH|F)2,M
FERROLAUEITE,Fe++Fe+++2(PO4)2(OH)2.8H2O,A
FERROLEAKEITE,(?),NaNa2(Fe++2Fe+++2Li)Si8O22(OH)2,(?),M
FERRONICKELPLATINUM,Pt(Ni|Fe),Q
FERRONIGERITE-2N1S,(Fe|Mg)4(Al10Sn2)O22(OH)2,R
FERRONIGERITE-6N6S,(Fe|Mg)18(Al42Sn6)O90(OH)6,R
FERRONORDITE-(Ce),Na3SrCeFe++Si6O17,O
FERRONORDITE-(La),Na3Sr(La|Ce)Fe++Si6O17,O
FERRONYBOITE,(?),NaNa2(Fe++3Al2)Si7AlO22(OH)2,(?),M
FERROOBERTIITE,NaNa2(Fe++3Fe+++Ti++++)Si8O22O2,M
FERROOTTOLINIITE,(?),[]NaLi(Fe++3Fe+++Al)Si8O22(OH)2,M
FERROPARGASITE,NaCa2(Fe++4Al)Si6Al2O22(OH)2,M
FERROPEDRIZITE,NaLi2(Fe++2Al2Li)Si8O22(OH)2,M
FERRORHODSITE,(Fe|Cu)(Rh|Pt|Ir)2S4,C
FERRORICHTERITE,Na(CaNa)Fe++5Si8O22(OH)2,M
FERROROSEMARYITE,[]NaFe++Fe+++Al(PO4)3,M
FERROSAPONITE,Ca0|3(Fe++|Mg|Fe+++)3(Si|Al)4O10(OH)2.4H2O,M
FERROSELITE,FeSe2,O
FERROSILITE,(Fe++|Mg)2Si2O6,O
FERROSKUTTERUDITE,(FeCo)As3,C
FERROSTRUNZITE,Fe++Fe+++2(PO4)2(OH)2.6H2O,A
FERROTAAFFEITE-6N'3S,(Fe++|Zn|Mg)2Al6BeO12,R
FERROTITANOWODGINITE,(Fe++|Mn++)(Ti|Sn++++|Ta|Fe+++)(Ta|Nb)2O8,M
FERROTOCHILINITE,6FeS.5Fe(OH)2,M
FERROTSCHERMAKITE,[]Ca2(Fe++3AlFe+++)Si6Al2O22(OH)2,M
FERROTYCHITE,Na6Fe++2(SO4)(CO3)4,C
FERROVALLERIITE,2(Fe|Cu)S.1|5Fe(OH)2,R
FERROWHITTAKERITE,(?),Na(NaLi)2(Fe++2AlFe+++Li)(Si8O22)(OH)2,M
FERROWINCHITE,(?),[](CaNa)Fe++4(Al|Fe+++)Si8O22(OH)2,M
FERROWODGINITE,(Fe++|Mn++)(Sn|Ti|Fe+++|Ta)(Ta|Nb)2O8,M
FERROWYLLIEITE,(Na|Ca|Mn)(Fe++|Mn)(Fe++|Fe+++|Mg)Al(PO4)3,M
FERRUCCITE,NaBF4,O
FERSMANITE,(Ca|Na)8(Ti|Nb)4(Si4O12)O10(F|OH)4,M
FERSMITE,(Ca|Ce|Na)(Nb|Ta|Ti)2(O|OH|F)6,O
FERUVITE,CaFe++3(Al5Mg)(Si6O18)(BO3)3(OH)3OH,R
FERVANITE,Fe+++4(VO4)4.5H2O,M
FETIASITE,(Fe++|Fe+++|Ti++++)3O2(As+++2O5),M
FETTELITE,Ag164HgAs4S15,R ps H
FIANELITE,Mn++2V+++++(V+++++|As+++++)O7.2H2O,M
FIBROFERRITE,Fe+++(SO4)(OH).5H2O,M
FICHTELITE,C19H34,M
FIEDLERITE,(-2M1),Pb3Cl4F(OH).H2O,M
FILATOVITE,K(Al|Zn)2(As+++++|Si)2O8,M
FILIPSTADITE,(Mn|Mg)2Sb+++++Fe+++O8,O
FILLOWITE,Na12Ca4(Mn++|Fe++)44(PO4)36,M
FINGERITE,Cu11(VO4)6O2,A
FINNEMANITE,Pb5(As+++O3)3Cl,H
FISCHESSERITE,Ag3AuSe2,C
FIVEGITE,K4Ca2[AlSi7O17(O2-xOHx)][(H2O)2-xOHx]Cl,(x,=,0-2),O
FIZELYITE,Pb14Ag5Sb21S48,(?),M
FLAGSTAFFITE,C10H22O3,O
FLEISCHERITE,Pb3Ge(SO4)2(OH)6.3H2O,H
FLETCHERITE,Cu(Ni|Co)2S4,C
FLINKITE,Mn++2Mn+++(AsO4)(OH)4,O
FLORENCITE-(Ce),CeAl3(PO4)2(OH)6,R
FLORENCITE-(La),(La|Ce)Al3(PO4)2(OH)6,R
FLORENCITE-(Nd),(Nd|Ce)Al3(PO4)2(OH)6,A
FLORENCITE-(Sm),(Sm|Nd)Al3(PO4)2(OH)6,R
FLORENSKYITE,Fe(Ti|Ni)P,O
FLORENSOVITE,(Cu|Zn)(Cr|Sb)2S4,C
FLORKEITE,K3NaCa2(Al8Si8O32),A ps M
FLUCKITE,CaMn++H2(AsO4)2.2H2O,A
FLUELLITE,Al2(PO4)F2(OH).7H2O,O
FLUOBORITE,Mg3(BO3)(F|OH)3,H
FLUOCERITE-(Ce),(Ce|La)F3,H
FLUOCERITE-(La),(La|Ce)F3,H
FLUORANNITE,KFe++3AlSi3O10(F|OH)2,M
FLUORAPATITE,Ca5(PO4)3F,H
FLUORARROJADITE-(BaFe),Na2BaCaFe++14Al(PO4)11(PO3OH)F2,M
FLUORBRITHOLITE-(Ce),(Ce|Ca)5(SiO4)3F,H
FLUORBRITHOLITE-(Y),(Y|Ca|Ce|Nd)5(SiO4)3(F|O),H
FLUORBUERGERITE,NaFe+++3Al6(Si6O18)(BO3)3O3F,R
FLUORCALCIOBRITHOLITE,(Ca|Ce|La|Nd)5(SiO4|PO4)3(F|O),H
FLUORCALCIOMICROLITE,(Ca|Na|[])2Ta2O6F,C
FLUORCALCIOPYROCHLORE,(Ca|Na)2(Nb|Ti)2O6F,C
FLUORCALCIOROMEITE,(Ca|Na)2Sb+++++2(O|OH)6F,C
FLUORCANASITE,K3Na3Ca5Si12O30F4.H2O,M
FLUORCAPHITE,Ca(Sr|NaCa)(Ca|Sr|Ce)3(PO4)3F,H
FLUORDRAVITE,NaMg3Al6(Si6O18)(BO3)3(OH)3F,R
FLUORELBAITE,Na(Li1|5Al1|5)Al6(Si6O18)(BO3)3(OH)3F,R
FLUORELLESTADITE,Ca5(SiO4)1|5(SO4)1|5F,H
FLUORITE,CaF2,C
FLUORKENOPYROCHLORE,([]|Na|Ce|Ca)2(Nb|Ti)2O6F,C
FLUORKYUYGENITE,Ca12Al14O32[(H2O)4F2],C
FLUORLAMPROPHYLLITE,Na3(SrNa)Ti3(Si2O7)2O2F2,M
FLUORLIDDICOATITE,Ca(Li2Al)Al6(Si6O18)(BO3)3(OH)3F,R
FLUORMAYENITE,Ca12Al14O32F2,C
FLUORNATROMICROLITE,(Na|Ca|Bi)2Ta2O6F,C
FLUORNATROPYROCHLORE,(Na|Pb|Ca|REE|U)2Nb2O6F,C
FLUORNATROROMEITE,(Na|Ca)2Sb2(O|OH)6F,C
FLUOROALUMINOLEAKEITE,NaNa2(Mg2Al2Li)Si8O22F2,M
FLUOROALUMINOMAGNESIOTARAMITE,Na2Ca(Mg|Fe++)3Al2(AlSi3O11)2(F|OH)2,M
FLUOROCANNILLOITE,CaCa2(Mg4Al)Si5Al3O22F2,M
FLUOROCLINOHOLMQUISTITE,(?),(?)
FLUOROCRONITE,PbF2,C
FLUOROEDENITE,(FLUORO-EDENITE),NaCa2(Mg|Fe++)5(Si7Al)O22F2,M
FLUOROFERROLEAKEITE,NaNa2(Fe++2Fe+++2Li)Si8O22F2,M
FLUOROKINOSHITALITE,BaMg3Al2Si2O10F2,M
FLUOROLEAKEITE,NaNa2(Mg2Fe+++Li)Si8O22F2,M
FLUOROMAGNESIOARFVEDSONITE,(Na|K)Na2(Mg|Fe++)4Fe+++Si8O22(F|OH)2,M
FLUOROMAGNESIOHASTINGSITE,NaCa2(Mg4Fe+++)Si6Al2O22F2,M
FLUORONYBOITE,Na(Na|Ca)2(Mg|Fe++)3(Al|Mg|Fe+++)2Si7AlO22(F|OH)2,M
FLUOROPARGASITE,NaCa2(Mg|Fe++)4AlSi6Al2O22(F|OH)2,M
FLUOROPHLOGOPITE,KMg3AlSi3O10(F|OH)2,M ps H
FLUOROPOTASSICHASTINGSITE,KCa2(Fe++4Fe+++)Si6Al2O22F2,M
FLUOROPOTASSICMAGNESIOARFVEDSONITE,KNa2(Mg|Fe++)5Si8O22(F|OH)2,M
FLUOROPOTASSICRICHTERITE,KNaCaMg5Si8O22F2,M
FLUORORICHTERITE,Na(CaNa)Mg5Si8O22F2,M
FLUOROSODICFERROPEDRIZITE,NaLi2(Fe++2Al2Li)Si8O22F2,M
FLUOROSODICPEDRIZITE,NaLi2(Mg2Al2Li)Si8O22(F|OH)2,M
FLUOROTETRAFERRIPHLOGOPITE,KMg3Fe+++Si3O10F2,M
FLUOROTREMOLITE,Ca2Mg5Si8O22F2,M
FLUOROWARDITE,NaAl3(PO4)2F2(OH)2.2H2O,Q
FLUORPHOSPHOHEDYPHANE,Ca2Pb3(PO4)3F,H
FLUORSCHORL,NaFe++3Al6(Si6O18)(BO3)3(OH)3F,R
FLUORSTRONTIOPYROCHLORE,(Sr|[])2Nb2(O|OH)6F,C
FLUORSTROPHITE,Sr4Ca(PO4)3F,H
FLUORTHALENITE-(Y),Y3Si3O10F,M
FLUORUVITE,CaMg3(Al5Mg)(Si6O18)(BO3)3(OH)3F,R
FLUORVESUVIANITE,Ca19(Al|Mg|Fe++)13(SiO4)10(Si2O7)4(F|OH|O)10,Q
FOGGITE,CaAl(PO4)(OH)2.H2O,O
FOITITE,[](Fe++2Al)Al6(Si6O18)(BO3)3(OH)3OH,R
FONTANITE,Ca(UO2)3(CO3)4.3H2O,O
FOORDITE,Sn++(Nb|Ta)2O6,M
FORETITE,Cu2Al2(AsO4)(OH|O|H2O)6,A
FORMANITE-(Y),YTaO4,Q
FORMICAITE,Ca(HCO2)2,Q
FORNACITE,(Pb|Cu++)3[(Cr|As)O4]2(OH),M
FORSTERITE,Mg2SiO4,O
FOSHAGITE,Ca4Si3O9(OH)2,A
FOUGERITE,Fe++4Fe+++2(OH)12[CO3].3H2O,R
FOURMARIERITE,Pb(UO2)4O3(OH)4.4H2O,O
FRAIPONTITE,(Zn|Al)3(Si|Al)2O5(OH)4,M
FRANCEVILLITE,(Ba|Pb)(UO2)2V2O8.5H2O,O
FRANCISCANITE,Mn++3V+++++(SiO4)(O|OH)7,H
FRANCISITE,Cu3Bi(SeO3)2O2Cl,O
FRANCKEITE,(Pb|Sn++)6Sn++++2FeSb2S14,A
FRANCOANELLITE,H6(K|Na)3(Al|Fe+++)5(PO4)8.13H2O,R
FRANCOISITE-(Ce),(Ce|Nd|Ca)(UO2)3(PO4)2O(OH).6H2O,M
FRANCOISITE-(Nd),(Nd|Y|Sm|Ce)(UO2)3(PO4)2O(OH).6H2O,M
FRANCONITE,Na2Nb4O11.9H2O,M
FRANKAMENITE,K3Na3Ca5(Si12O30)(F|OH)4.H2O,A
FRANKDICKSONITE,BaF2,C
FRANKHAWTHORNEITE,Cu2Te++++++O4(OH)2,M
FRANKLINFURNACEITE,Ca2(Fe+++Al)Mn+++Mn++3Zn2Si2O10(OH)8,M
FRANKLINITE,(Zn|Mn++|Fe++)(Fe+++|Mn+++)2O4,C
FRANKLINPHILITE,(K|Na)4(Mn++|Mg|Zn|Fe+++)48(Si|Al)72(O|OH)216.6H2O,A ps H
FRANSOLETITE,H2Ca3Be2(PO4)4.4H2O,M
FRANZINITE,(Na|K)6Ca2(SO4)2Al6Si6O24.0|5H2O,H
FREBOLDITE,CoSe,H
FREDRIKSSONITE,Mg2(Mn+++|Fe+++)BO5,O
FREEDITE,Pb8Cu+(As+++O3)2O3Cl5,M
FREIBERGITE,(Ag|Cu)6(Cu|Ag)4(Fe|Zn)2Sb4S12-13,C
FREIESLEBENITE,AgPbSbS3,M
FRESNOITE,Ba2TiSi2O8,Q
FREUDENBERGITE,Na2(Ti|Fe)8O16,M ps H
FRIEDELITE,Mn8Si6O15(OH|Cl)10,M ps R
FRIEDRICHBECKEITE,K([]0|5Na0|5)2(Mg0|8Mn0|1Fe0|1)2(Be0|6Mg0|4)3[Si12O30],H
FRIEDRICHITE,Pb5Cu5Bi7S18,O
FRITZSCHEITE,Mn++(UO2)2[(P|V)O4]2.10H2O,(?),Q
FROHBERGITE,FeTe2,O
FROLOVITE,CaB2(OH)8,A
FRONDELITE,Mn++Fe+++4(PO4)3(OH)5,O
FROODITE,PdBi2,M
FUENZALIDAITE,K6(Na|K)4Na6Mg10(SO4)12(IO3)12.12H2O,R
FUETTERERITE,Pb3Cu++6Te++++++O6(OH)7Cl5,R ps H
FUKALITE,Ca4Si2O6(CO3)(OH)2,O
FUKUCHILITE,(Cu|Fe)S2,C
FULLERITE,C60,Q
FULOPPITE,Pb3Sb8S15,M
FURONGITE,Al2(UO2)(PO4)3(OH)2.8H2O,A
FURUTOBEITE,(Cu|Ag)6PbS4,M
GABRIELITE,Tl2AgCu2As3S7,A ps H
GABRIELSONITE,PbFe++(AsO4)(OH),O
GADOLINITE-(Ce),(Ce|La|Nd|Y)2Fe++Be2Si2O10,M
GADOLINITE-(Y),Y2Fe++Be2Si2O10,M
GAGARINITE-(Ce),NaCaCeF6,R
GAGARINITE-(Y),NaCaY(F|Cl)6,H
GAGEITE,(-1A|-2M),(Mn|Mg|Zn)42Si16O54(OH)40,M/A
GAHNITE,ZnAl2O4,C
GAIDONNAYITE,Na2ZrSi3O9.2H2O,O
GAINESITE,Na(Na|K)(Be|Li)(Zr|Zn)2(PO4)4.1-2H2O,Q
GAITITE,Ca2Zn(AsO4)2.2H2O,A
GALAXITE,(Mn++|Fe++|Mg)(Al|Fe+++)2O4,C
GALEITE,Na15(SO4)5F4Cl,R
GALENA,PbS,C
GALENOBISMUTITE,PbBi2S4,O
GALGENBERGITE-(Ce),Ca(Ce|La|Nd)2(CO3)4.H2O,A
GALILEIITE,(Na|K)12(Fe++|Mn++|Cr)48(PO4)36,R
GALKHAITE,(Cs|Tl)(Hg|Cu|Zn)6(As|Sb)4S12,C
GALLISKIITE,Ca4Al2(PO4)2F8.5H2O,A
GALLITE,CuGaS2,Q
GALLOBEUDANTITE,PbGa3[(AsO4)|(SO4)]2(OH)6,R
GALUSKINITE,Ca7(SiO4)3(CO3),M
GAMAGARITE,Ba2(Fe+++|Mn+++)(VO4)2(OH),M
GANANITE,BiF3,C
GANOMALITE,Pb9Ca5Mn++Si9O33,H
GANOPHYLLITE,(K|Na)2(Mn|Al|Mg)8(Si|Al)12O29(OH)7.8-9H2O,M
GANTERITE,(Ba|Na|K)(Al|Mg)2(Al|Si)AlSi3O10(OH)2,M
GAOTAIITE,Ir3Te8,C
GARAVELLITE,FeSbBiS4,O
GARRELSITE,Ba3NaSi2B7O16(OH)4,M
GARRONITE,NaCa2|5[Al6Si10O32].14H2O,Q/O
GARTRELLITE,PbCu(Fe|Cu)(AsO4)2(OH|H2O)2,A
GARUTIITE,(Ni|Fe|Ir),H
GARYANSELLITE,(Mg|Fe+++)3(PO4)2(OH|O).1|5H2O,O
GASPARITE-(Ce),(Ce|La|Nd)AsO4,M
GASPEITE,(Ni|Mg|Fe++)CO3,R
GATEHOUSEITE,Mn++5(PO4)2(OH)4,O
GATELITE-(Ce),Ca(Ce|Nd|La|Pr)3(Mg|Fe++|Al)(Al|Mg)3(SiO4)3(Si2O7)(O|F)(OH|O)2,M
GATUMBAITE,CaAl2(PO4)2(OH)2.H2O,M
GAUDEFROYITE,Ca4Mn+++3-x(BO3)3(CO3)(O|OH)3,H
GAULTITE,Na4[Zn2Si7O18].5H2O,O
GAYITE,NaMn++Fe+++5(PO4)4(OH)6.2H2O,M
GAYLUSSITE,Na2Ca(CO3)2.5H2O,M
GEARKSUTITE,CaAlF4(OH).H2O,M
GEBHARDITE,Pb8(As+++2O5)2OCl6,M
GEDRITE,[]Mg5Al2Si6Al2O22(OH)2,O
GEERITE,Cu8S5 ps C
GEFFROYITE,(Ag|Cu|Fe)9(Se|S)8,C
GEHLENITE,Ca2Al(AlSi)O7,Q
GEIGERITE,Mn5(H2O)8(AsO3OH)2(AsO4)2.2H2O,A
GEIKIELITE,MgTiO3,R
GELOSAITE,Bi(Mo++++++|Mo+++++)2-2|5O7(OH).H2O,M
GEMINITE,Cu++(As+++++O3OH).H2O,A
GENGENBACHITE,KFe+++3[(H2PO4)2|(HPO4)4].6H2O,H
GENKINITE,(Pt|Pd)4Sb3,Q
GENTHELVITE,Zn4Be3(SiO4)3S,C
GEOCRONITE,Pb14(Sb|As)6S23,M
GEORGBARSANOVITE,Na12(Mn|Sr|REE)3Ca6Fe++3Zr3NbSi25O76Cl2.H2O,R
GEORGBOKIITE,Cu5(SeO3)2O2Cl2,M
GEORGECHAOITE,KNaZrSi3O9.2H2O,O
GEORGEERICKSENITE,(GEORGE-ERICKSENITE),Na6CaMg(IO3)6(CrO4|SO4)2.12H2O,R
GEORGEITE,Cu++5(CO3)3(OH)4.6H2O,am.
GEORGEROBINSONITE,Pb4(CrO4)2(OH)2FCl,O
GEORGIADESITE,Pb4(AsO3)4Cl4(OH),M
