mineral,formula,system
APACHITE,Cu9Si10O29.11H2O,M
APHTHITALITE,(K|Na)3Na(SO4)2,R
APJOHNITE,Mn++Al2(SO4)4.22H2O,M
APLOWITE,(Co|Mn++|Ni)SO4.4H2O,M
APOPHYLLITE-(KF),(K|Na)Ca4Si8O20(F|OH).8H2O,O
APOPHYLLITE-(KOH),KCa4Si8O20(OH|F).8H2O,Q
APOPHYLLITE-(NaF),NaCa4Si8O20F.8H2O,O
APUANITE,Fe++Fe+++4Sb+++4O12S,Q
AQUALITE,(H3O)8(Na|K|Sr)5Ca6Zr3Si26O66(OH)9Cl,R
ARAGONITE,CaCO3,O
ARAKIITE,(Zn|Mn++)(Mn++|Mg)12(Fe+++|Al)2(As+++O3)(As+++++O4)2(OH)23,M
ARAMAYOITE,Ag3Sb2BiS6,A
ARANGASITE,Al2(PO4)(SO4)F.7|5?2O,M
ARAPOVITE,(U|Th)(Ca|Na)2(K1-x[]x)Si8O20.H2O,(x=0|5),Q
ARAVAIPAITE,Pb3AlF9.H2O,M
ARCANITE,K2SO4,0
ARCANITE/TAYLORITE,K2SO4,O
ARCHERITE,(K|NH4|)H2PO4,Q
ARCTITE,Na2Ca4(PO4)3F,R
ARCUBISITE,Ag6CuBiS4,(?)
ARDAITE,Pb19Sb13S35Cl7,M
ARDEALITE,Ca2(SO4)(HPO4).4H2O,M
ARDENNITE-(As),Mn4[Al4(AlMg)][Si5As]O22(OH)6,O
ARDENNITE-(V),Mn4[Al4(AlMg)][Si5V]O22(OH)6,O
ARFVEDSONITE,NaNa2(Fe++|Mg)4Fe+++Si8O22(OH)2,M
ARGANDITE,Mn++7(VO4|AsO4)2(OH)8,M
ARGENTOJAROSITE,Ag+2Fe+++6(SO4)4(OH)12,R
ARGENTOPENTLANDITE,Ag(Fe|Ni)8S8,C
ARGENTOPYRITE,AgFe2S3,O
ARGENTOROMEITE,Ag2Sb2(O|OH)7,(?),C
ARGENTOTENNANTITE,(Ag|Cu)10(Zn|Fe)2(As|Sb)4S13,C
ARGESITE,(NH)4Bi3Cl16,R ps H
ARGUTITE,GeO2,Q
ARGYRODITE,Ag8GeS6,O ps C
ARHBARITE,Cu2Mg(AsO4)(OH)3,A
ARISITE-(Ce),NaCe2(CO3)2[(CO3)1-xF2x]F,H
ARISITE-(La),NaLa2(CO3)2[F2x(CO3)1-x]F,H
ARISTARAINITE,Na2MgB12O20.10H2O,M
ARMALCOLITE,(Mg|Fe++)Ti2O5,O
ARMANGITE,Mn++26As+++18O50(OH)4(CO3),R
ARMBRUSTERITE,K5Na7Mn15(Si9O22)4(OH)10.4H2O,M
ARMENITE,BaCa2Al6Si9O30.2H2O,O
ARMSTRONGITE,CaZrSi6O15.2.5H2O,M
ARROJADITE-(BaFe),Na2BaCaFe++14Al(PO4)11(PO3OH)(OH)2,M
ARROJADITE-(KFe),KNa3CaFe++14Al(PO4)11(PO3OH)(OH)2,M
ARROJADITE-(KNa),KNa5CaFe++13Al(PO4)11(PO3OH)(OH)2,M
ARROJADITE-(PbFe),Na2PbCaFe++14Al(PO4)11(PO3OH)(OH)2,M
ARROJADITE-(SrFe),Na2SrCaFe++14Al(PO4)11(PO3OH)(OH)2,M
ARSENBRACKEBUSCHITE,Pb2(Fe++|Zn)(AsO4)2(OH|H2O),M
ARSENDESCLOIZITE,PbZn(AsO4)(OH),O
ARSENIC,As,R
ARSENIOPLEITE,NaCaMn++(Mn++|Mg)2(AsO4)3,M
ARSENIOSIDERITE,Ca2Fe+++3(AsO4)3O2.3H2O,M
ARSENOCLASITE,Mn5(AsO4)2(OH)4,O
ARSENOCRANDALLITE,(Ca|Sr)Al3[(As|P)O4]2(OH)5.H2O,R
ARSENOFLORENCITE-(Ce),(Ce|La)Al3(AsO4|PO4)2(OH)6,R
ARSENOFLORENCITE-(La),(La|Ce|Nd)Al3(AsO4)2(OH)6,R
ARSENOFLORENCITE-(Nd),(?),(Nd|La|Ce|Ba)(Al|Fe+++)3(AsO4|PO4)2(OH)6,(?),R
ARSENOGORCEIXITE,HBaAl3(AsO4)2(OH)6,R
ARSENOGOYAZITE,(Sr|Ca|Ba)Al3(AsO4|PO4)2(OH|F)5.H2O,R
ARSENOHAUCHECORNITE,Ni9BiAsS8,Q
ARSENOHOPEITE,Zn3(AsO4)2.4H2O,O
ARSENOLAMPRITE,As,O
ARSENOLITE,As2O3,C
ARSENOPALLADINITE,Pd8(As|Sb)3,A
ARSENOPYRITE,FeAsS,M ps O
ARSENOSULVANITE,Cu3(As|V)S4,C
ARSENOVANMEERSSCHEITE,U++++++(UO2)3(AsO4|PO4)2(OH)2.4H2O,O
ARSENTSUMEBITE,Pb2Cu(AsO4)(SO4)(OH),M
ARSENURANOSPATHITE,HAl(UO2)4(AsO4)4.40H2O,Q
ARSENURANYLITE,Ca(UO2)4(AsO4)2(OH)4.6H2O,O
ARSICCIOITE,AgHg2Tl(As|Sb)2S6,Q
ARTHURITE,Cu++Fe+++2(AsO4|PO4|SO4)2(O|OH)2.4H2O,M
ARTINITE,Mg2(CO3)(OH)2.3H2O,M
ARTROEITE,PbAlF3(OH)2,A
ARTSMITHITE,Hg+4Al(PO4)2-x(OH)1+3x,(x,=,0|26),M
ARUPITE,(Ni|Fe++)3(PO4)2.8H2O,M
ARZAKITE,Hg3S2(Br|Cl)2,M/A
ARZRUNITE,Cu4Pb2SO4O2Cl6.4H2O,(?),O
ASBECASITE,Ca3(Ti|Fe|Sn)(Be|B|Al)2(As+++|Sb+++)3O6(SiO4)2,R
ASBOLANE,(Co|Ni)1-y(Mn++++O2)2-x(OH)2-2y+2x.nH2O,H
ASCHAMALMITE,Pb6Bi2S9,M
ASHBURTONITE,Pb4Cu++4Si4HO12(HCO3)4(OH)4Cl,Q
ASHCROFTINE-(Y),K5Na5(Y|Ca)12Si28O70(OH)2(CO3)8.8H2O,Q
ASHOVERITE,Zn(OH)2,Q
ASISITE,Pb9(SiO4)O6Cl2,Q
ASKAGENITE-(Nd),Mn++NdAl2Fe+++(Si2O7)(SiO4)O2,M
ASPEDAMITE,[]12(Fe+++|Fe++)3Nb4[Th(Nb|Fe+++)12O42]{(H2O)|(OH)}12,C
ASPIDOLITE,NaMg3AlSi3O10(OH)2,M
ASSELBORNITE,(BiO)3(Pb|Ba)(UO2)4(OH)7(AsO4)2.4H2O,C
ASTROCYANITE-(Ce),Cu+2(Ce|Nd|La|Pr|Sm|Ca|Y)2(UO2)(CO3)5(OH)2.3H2O,H
ASTROPHYLLITE,K2Na(Fe++|Mn)7Ti2Si8O26(OH)4F,A
ATACAMITE,Cu2Cl(OH)3,O
ATELESTITE,Bi2O(OH)(AsO4),M
ATELISITE-(Y),Y4Si3O8(OH)8,Q
ATENCIOITE,Ca2Mg2Fe++2-3Be4(PO4)6(OH)4.6H2O,A
ATHABASCAITE,Cu5Se4,O
ATHENEITE,Pd2(As0|75Hg0|25),H
ATLASOVITE,Cu6Fe+++Bi+++O4(SO4)5.KCl,Q
ATOKITE,(Pd|Pt)3Sn,C
ATTAKOLITE,(Ca|Sr)Mn++(Al|Fe+++)4[(Si|P)O4]H(PO4)3(OH)4,M
ATTIKAITE,Ca3Cu2Al(AsO4)2(OH)2.2H2O,O
AUBERTITE,CuAl(SO4)2Cl.14H2O,A
AUGELITE,Al2(PO4)(OH)3,M
AUGITE,(Ca|Na)(Mg|Fe|Al|Ti)(Si|Al)2O6,M
AURIACUSITE,Fe+++Cu++(AsO4|Sb+++++O4)(O|OH),O
AURICHALCITE,(Zn|Cu)5(CO3)2(OH)6,M
AURICUPRIDE,Cu3Au,O
AURIVILLIUSITE,Hg+2Hg++2I2O2,O
AUROANTIMONATE,AuSbO3
AURORITE,(Mn|Ag|Ca)Mn++++3O7.3H2O,A,(?)
AUROSTIBITE,AuSb2,C
AUSTINITE,CaZn(AsO4)(OH),O
AUTUNITE,Ca(UO2)2(PO4)2.10-12H2O,Q
AVDONINITE,K2Cu5(OH)4Cl8.H2O,M
AVERIEVITE,Cu++5O2(VO4)2.n(CuCl),or,Cu++5O2(VO4)2.n(CuCl2),or,Cu++5O2(VO4)2.n(K|Rb|Cs)Cl,M
AVICENNITE,Tl2O3,C
AVOGADRITE,(K|Cs)BF4,O
AWARUITE,Ni2Fe,to,Ni3Fe,H
AXINITE-(Fe),Ca2Fe++Al2BO3Si4O12(OH),A
AXINITE-(Mg),Ca2MgAl2BO3Si4O12(OH),A
AXINITE-(Mn),Ca2Mn++Al2BO3Si4O12(OH),A
AZOPROITE,(Mg|Fe++)2(Fe+++|Ti|Mg)BO5,O
AZURITE,Cu3(CO3)2(OH)2,M
BABEFPHITE,BaBe(PO4)(F|O),Q
BABINGTONITE,Ca2(Fe++|Mn)Fe+++Si5O14(OH),A
BABKINITE,Pb2Bi2(S|Se)3,R
BADDELEYITE,ZrO2,M
BAFERTISITE,Ba(Fe++|Mn)2TiSi2O7(O|OH)2,M
BAGHDADITE,Ca12(Zr|Ti)4(Si2O7)4(O|F)8,M
BAHIANITE,Al5Sb+++++3O14(OH)2,M
BAILEYCHLORE,(Zn|Fe++|Al|Mg)6(Si|Al)4O10(OH)8,A
BAIRDITE,Pb2Cu++4Te++++++2O10(OH)2(SO4)(H2O),M
BAKERITE,Ca4B4(BO3)(SiO4)3(OH)5,M
BAKHCHISARAITSEVITE,Na2Mg5(PO4)4.7H2O,M
BAKSANITE,Bi6(Te2S3),R
BALANGEROITE,(Mg|Fe+++|Fe++|Mn++)42Si16O54(OH)40,M
BALAVINSKITE,Sr2B6O11.4H2O,(?)
BALIPHOLITE,BaMg2LiAl3Si4O12(OH|F)8,O
BALKANITE,Cu9Ag5HgS8,O
BALLIRANOITE,(Na|K)6Ca2(Si6Al6O24)Cl2(CO3),H
BALYAKINITE,CuTeO3,O
BAMBOLLAITE,Cu(Se|Te)2,Q
BAMFORDITE,Fe+++Mo2O6(OH)3.H2O,A
BANALSITE,BaNa2Al4Si4O16,O
BANDYLITE,CuB(OH)4Cl,Q
BANNERMANITE,(Na|K)xV++++xV+++++6-xO15,(x=0|7),M
BANNISTERITE,KCa(Mn|Fe++|Zn)21(Si|Al)32O76(OH)16.12H2O,M
BAOTITE,Ba4(Ti|Nb)8Si4O28Cl,Q
BARAHONAITE-(Al),(Ca|Cu|Na|Al)6Al(AsO4)4.6-6|5(H2O|OH),M
BARAHONAITE-(Fe),(Ca|Cu|Na|Fe+++|Al)6Fe+++(AsO4)4.6(H2O|OH|Cl),M
BARARITE,(NH4)2SiF6,H
BARATOVITE,KCa7(Ti|Zr)2Li3Si12O36F2,M ps H
BARBERIITE,(NH4)BF4,O
BARBOSALITE,Fe++Fe+++2(PO4)2(OH)2,M
BARENTSITE,Na7AlH2(CO3)4F4,A
BARIANDITE,Al3(V+++++|V++++)40O100.45H2O,M
BARICITE,(Mg|Fe++|Fe+++)3(PO4)2.8(H2O|OH),M
BARIKAITE,Pb10Ag3As11Sb8S40,M
BARIOFERRITE,BaFe+++12O19,H
BARIOMICROLITE,=,HYDROKENOMICROLITE,Ba2(Ta|Nb)2(O|OH)7,(?),C
BARIOORTHOJOAQUINITE,(BARIO-ORTHOJOAQUINITE),(Ba|Sr)4Fe++2Ti2Si8O26.H2O,O
BARIOPEROVSKITE,BaTiO3,O
BARIOPHARMACOALUMITE,Ba0|5Al4(AsO4)3(OH)4.4H2O,C
BARIOPHARMACOSIDERITE,BaFe+++4(AsO4)3(OH)5.5H2O,Q ps C
BARIOSINCOSITE,(Ba|Sr)(V++++OPO4)2.4H2O,Q
BARITE,BaSO4,O
BARIUMBANNISTERITE,(?),(K|H3O)(Ba|Ca)(Mn++|Fe++|Mg)21(Si|Al)32O80(O|OH)16.4-12H2O,M
BARLOWITE,Cu4BrF(OH)6,H
BARNESITE,(Na|Ca)2V+++++6O16.3H2O,M
BARQUILLITE,Cu2(Cd|Fe)GeS4,Q
BARRERITE,Na2[Al2Si7O18].6H2O,O
BARRINGERITE,(Fe|Ni)2P,H
BARRINGTONITE,MgCO3.2H2O,(?),A
BARROISITE,[](CaNa)Mg3AlFe+++Si7AlO22(OH)2,M
BARSTOWITE,3PbCl2.PbCO3.H2O,or,Pb4Cl6CO3.H2O,M
BARTELKEITE,PbFeGe3O7(OH)2.H2O,M
BARTONITE,K3Fe10S14,Q
BARYLITE,BaBe2Si2O7,O ps H
BARYSILITE,Pb8Mn(Si2O7)3,R
BARYTOCALCITE,BaCa(CO3)2,M
BARYTOLAMPROPHYLLITE,(Na|K)2(Ba|Ca|Sr)2(Ti|Fe)3(SiO4)4(O|OH)2,M
BASSANITE,2CaSO4.H2O,M ps H
BASSETITE,Fe++(UO2)2(PO4)2.8H2O,M
BASSOITE,SrV++++3O7,M
BASTNASITE-(Ce),(Ce|La)(CO3)F,H
BASTNASITE-(La),(La|Ce)(CO3)F,H
BASTNASITE-(Nd),(Nd|,La|Ce)(CO3)F,H
BASTNASITE-(Y),(Y|Ce)(CO3)F,H
BATIFERRITE,Ba[Ti2Fe+++8Fe++2]O19,H
BATISITE,(Ba|K|Na)3Ti2Si4O14,O
BATISIVITE,Ba(V+++|Cr+++)8Ti++++6(Si2O7)O22,A
BAUMHAUERITE,Pb3As4S9,A
BAUMHAUERITE-2a,Pb11Ag0|7As17.2Sb0|4S36,or,(Pb|Ag)3As4S9,M
BAUMSTARKITE,Ag3Sb2SbS6,A
BAURANOITE,BaU2O7.4-5H2O,(?)
BAVENITE,Ca4Be2Al2Si9O26(OH)2,O
BAYANKHANITE,(?),Cu6HgS4,H?
BAYERITE,Al(OH)3,M
BAYLDONITE,(Cu|Zn)3Pb(AsO4)2(OH)2,M
BAYLEYITE,Mg2(UO2)(CO3)3.18H2O,M
BAYLISSITE,K2Mg(CO3)2.4H2O,M
BAZHENOVITE,CaS5.CaS2O3.6Ca(OH)2.20H2O,M
BAZIRITE,BaZrSi3O9,H
BAZZITE,Be3(Sc|Al)2Si6O18,H
BEARSITE,Be2(AsO4)(OH).4H2O,M
BEARTHITE,Ca2Al(PO4)2(OH),M
BEAVERITE-Cu,Pb(Cu++|Fe+++|Al)6(SO4)4(OH)12,R
BEAVERITE-Zn,Pb(Fe2Zn)(SO4)2(OH),R
BECHERERITE,Zn7Cu(OH)13[SiO(OH)3](SO4),R
BECQUERELITE,Ca(UO2)6O4(OH)6.8H2O,O
BEDERITE,[]Ca2Mn++2Fe+++2Mn++2(PO4)6.2H2O,O
BEHIERITE,(Ta|Nb)BO4,Q
BEHOITE,Be(OH)2,O
BEHOUNEKITE,U++++(SO4)2.4H2O,O
BEIDELLITE,(Na|Ca0|5)0|3Al2(Si|Al)4O10(OH)2.nH2O,M
BELAKOVSKIITE,Na7(UO2)(SO4)4(SO3OH)(H2O)3,A
BELENDORFFITE,Cu7Hg6,R ps C
BELKOVITE,Ba3(Nb|Ti)6(Si2O7)2O12,H
BELLBERGITE,(K|Ba|Sr)2Sr2Ca2(Ca|Na)4[Al18Si18O72].30H2O,H
BELLIDOITE,Cu2Se,Q
BELLINGERITE,Cu++3(IO3)6.2H2O,A
BELLOITE,Cu(OH)Cl,M
BELOVITE-(Ce),Sr3Na(Ce|La)(PO4)3(F|OH),R
BELOVITE-(La),Sr3Na(La|Ce)(PO4)3(F|OH),R
BELYANKINITE,Ca1-2(Ti|Zr|Nb)5O12.9H2O,(?),am.
BEMENTITE,Mn8Si6O15(OH)10,M
BENAUITE,(Sr|Ba)(Fe+++|Al)3(PO4)2(SO4)2(OH|H2O)6,R
BENAVIDESITE,Pb4(Mn|Fe)Sb6S14,M
BENDADAITE,Fe++Fe+++2(AsO4)2(OH)2.4H2O,M
